Jugador,Equipo,PJ,Min,Rating,Goles,Asist.,G+A,xG,xA,Tiros,Tiros a puerta,Pases clave,Gr. chances,Dribbles ok,%Pases ok,%Pases largos ok,%Duelos,Duelos/90,Entradas/90,Interc./90,Recup./90,Despejes/90,Bloqueos/90,Aéreos/90
Sebastián Villa,Boca Juniors,18,1288,7.37,0,6,6,0.11,1.03,34,9,53,11,35,78.9,54.55,53.03,4.9,1.0,0.3,4.5,0.0,0.6,0.2
David Romero,Tigre,12,798,7.08,7,2,9,0.41,0.0,35,14,8,2,10,60.0,80.0,35.97,5.6,0.5,0.2,2.3,0.0,0.7,2.0
Gabriel Ávalos,CA Independiente,21,1868,7.06,11,5,16,2.42,0.91,51,14,31,9,4,54.37,33.33,51.9,7.2,0.4,0.2,1.4,0.6,0.2,5.4
Tiziano Perrotta,Banfield,15,1096,7.03,6,1,7,1.56,1.03,37,13,15,2,9,63.14,50.0,46.19,7.5,1.1,0.2,2.6,0.6,0.8,4.4
Alex Luna,Instituto De Córdoba,19,1552,7.01,6,0,6,2.19,1.37,62,23,21,1,31,75.12,53.66,42.86,6.6,1.2,0.6,5.3,0.1,1.0,0.3
Mauro Méndez,Banfield,16,1378,6.99,6,3,9,,0.09,31,12,20,1,8,80.4,60.0,39.41,4.4,0.4,0.0,1.8,1.0,0.4,1.6
Dylan Aquino,CA Lanús,16,587,6.97,5,2,7,0.29,0.43,20,10,14,3,11,78.54,50.0,37.62,5.8,2.3,0.6,4.1,0.2,1.1,0.2
Valentin Depietri,CA Talleres,13,466,6.95,2,1,3,0.78,0.2,18,5,12,0,21,82.98,83.33,44.58,7.1,1.4,0.2,5.0,0.0,0.8,0.8
Luciano Cingolani,Gimnasia y Esgrima Mendoza,11,397,6.92,1,1,2,0.29,0.28,9,9,11,2,4,72.81,61.54,55.38,8.2,2.3,0.9,3.9,0.2,0.0,2.3
Cristian Tarragona,Club Atlético Unión de Santa Fe,21,1834,6.89,9,1,10,3.1,0.28,51,27,27,6,16,73.78,48.0,38.1,4.7,0.6,0.1,2.6,0.6,0.4,2.2
David Barbona,Defensa y Justicia,13,617,6.88,3,0,3,1.97,1.48,13,9,18,2,1,85.67,64.0,33.33,2.2,0.4,0.0,4.7,0.6,0.3,0.6
Agustín Modica,Gimnasia y Esgrima Mendoza,17,1201,6.87,7,0,7,1.63,0.07,36,16,7,0,21,72.16,85.71,43.39,6.1,1.0,0.2,1.3,1.5,0.6,2.0
Alex Arce,Independiente Rivadavia,14,796,6.86,5,0,5,2.57,0.81,25,9,14,0,6,65.37,37.5,46.71,8.8,0.7,0.2,2.1,1.2,0.0,6.3
Michael Santos,Central Córdoba,17,1261,6.85,5,2,7,1.67,0.07,28,12,20,5,7,66.97,50.0,39.53,4.9,0.4,0.2,1.6,1.2,0.1,3.0
Alexis Cuello,San Lorenzo,20,1729,6.82,4,3,7,1.07,0.51,39,11,21,4,38,64.31,50.0,44.81,7.9,1.1,0.3,2.7,0.6,0.5,2.6
Ignacio Russo,Tigre,20,1648,6.82,6,3,9,1.22,0.12,42,17,18,4,9,65.23,44.44,45.5,5.0,0.8,0.3,1.9,0.9,0.4,1.7
Guido Carrillo,Estudiantes de La Plata,15,1232,6.81,2,2,4,1.77,0.25,44,22,18,3,4,62.59,60.0,55.9,6.6,0.4,0.1,1.2,1.5,0.6,5.0
Franco Torres,Gimnasia y Esgrima,17,598,6.81,3,0,3,0.37,0.0,18,8,12,3,11,72.79,53.85,45.95,5.1,1.5,0.3,3.9,0.8,0.8,0.9
Jordy Caicedo,Huracán,21,1826,6.8,11,0,11,2.63,0.17,42,23,13,1,6,60.42,50.0,36.16,4.0,0.6,0.0,1.6,1.0,0.2,2.4
Leandro Díaz,Atlético Tucumán,17,1293,6.79,7,1,8,0.79,0.04,35,19,11,1,4,62.92,77.27,40.72,4.7,0.2,0.1,2.4,1.1,0.1,3.1
