Jugador,Equipo,Edad,PJ,Min,Rating,Goles,Asist.,G+A,xG,xA,Tiros,Tiros a puerta,Pases clave,Gr. chances,Dribbles ok,%Pases ok,%Pases largos ok,%Duelos,Duelos/90,Entradas/90,Interc./90,Recup./90,Despejes/90,Aéreos/90,Bloqueos/90,Altura,Pie,País,Valor
Tomás Palacios,Estudiantes de La Plata,23,15,1269,7.39,1,0,1,0.44,0.26,8,1,7,0,16,87.74,48.0,71.61,7.9,1.8,1.2,5.0,5.1,2.7,0.2,195,Left,Argentina,"5,500,000.0 €"
Leandro Lozano,Boca Juniors,27,17,1469,7.33,0,2,2,0.07,0.87,13,3,27,5,8,81.4,39.06,63.22,6.7,1.9,1.0,5.1,2.9,2.5,0.3,169,Right,Uruguay,"3,600,000.0 €"
Román Riquelme,CA Talleres,24,15,1406,7.28,1,1,2,0.02,0.08,10,2,3,0,3,87.83,58.75,59.59,5.6,1.0,1.4,3.6,5.4,3.5,0.1,184,Right,Argentina,"1,800,000.0 €"
Francisco Álvarez,Argentinos Juniors,26,22,2034,7.27,3,0,3,0.55,0.12,23,7,6,0,4,88.36,47.95,58.44,6.3,1.5,2.0,4.1,6.8,3.8,0.3,180,Right,Argentina,"4,400,000.0 €"
Leandro González Pírez,Estudiantes de La Plata,34,15,1201,7.27,1,0,1,,0.01,7,3,2,0,11,84.38,52.34,67.83,5.8,1.1,1.3,3.7,6.7,2.8,0.1,186,Right,Argentina,"360,000.0 €"
Clever Ferreira,Atlético Tucumán,23,13,1103,7.25,1,1,2,0.39,0.45,17,4,5,1,3,66.17,30.89,71.43,8.2,1.3,1.2,3.2,7.6,5.8,0.2,184,Right,Paraguay,"1,000,000.0 €"
Gastón Ávila,Rosario Central,24,17,1388,7.22,2,2,4,0.38,0.23,12,3,5,3,3,84.8,54.38,67.94,5.8,1.8,1.2,4.9,5.1,2.5,0.2,182,Left,Argentina,"3,400,000.0 €"
Alan Barrionuevo,Tigre,29,19,1710,7.2,2,2,4,0.47,0.1,27,7,7,1,3,81.99,54.86,72.73,5.1,1.5,1.2,2.7,7.4,3.3,0.3,188,Right,Argentina,"1,900,000.0 €"
Mateo Del Blanco,Club Atlético Unión de Santa Fe,22,18,1577,7.2,2,2,4,0.09,0.69,44,11,47,6,31,73.94,48.8,48.54,5.7,1.4,1.2,7.3,1.8,0.9,0.9,170,Left,Argentina,"4,700,000.0 €"
Lautaro Di Lollo,Boca Juniors,21,17,1560,7.2,1,0,1,0.73,0.09,17,6,0,0,6,86.02,33.05,71.2,7.8,2.5,1.0,4.7,5.0,4.6,0.2,189,Right,Argentina,"7,200,000.0 €"
Carlos Izquierdoz,CA Lanús,37,16,1440,7.2,2,0,2,0.11,0.07,13,4,3,0,0,85.62,54.97,66.92,5.6,1.6,1.4,3.5,6.8,3.2,0.1,186,Right,Argentina,"350,000.0 €"
Gabriel Rojas,Racing Club,29,14,1290,7.2,1,4,5,,0.55,7,3,29,6,13,76.47,35.06,53.39,4.4,1.7,1.3,2.7,2.4,1.0,0.0,178,Left,Argentina,"3,600,000.0 €"
Lucas Martínez Quarta,River Plate,30,23,2091,7.17,2,0,2,1.16,0.15,27,8,5,1,11,86.35,52.02,62.07,5.4,1.7,1.4,4.8,4.0,2.5,0.1,183,Right,Argentina,"4,099,999.0 €"
Alejandro Maciel,Central Córdoba,29,17,1530,7.16,1,1,2,,0.03,6,2,4,2,4,72.34,38.82,58.28,5.6,2.0,1.5,2.5,8.5,3.1,0.0,183,Right,Argentina,"365,000.0 €"
Lisandro López,Club Atlético Belgrano,36,18,1484,7.15,0,0,0,0.02,0.05,11,3,7,0,7,89.58,62.69,64.52,4.9,1.8,1.6,4.8,7.2,2.2,0.1,187,Right,Argentina,"320,000.0 €"
Lucas Carrizo,Huracán,29,15,1289,7.13,0,0,0,,0.12,4,1,5,0,2,79.55,47.22,65.22,5.2,2.1,0.8,4.7,4.1,1.1,0.0,180,Left,Argentina,"750,000.0 €"
Giuliano Cerato,Instituto De Córdoba,28,20,1787,7.11,3,1,4,0.31,1.38,15,8,27,3,10,64.44,35.98,48.65,3.6,2.2,0.9,5.2,3.1,0.6,0.2,170,Right,Argentina,"1,300,000.0 €"
Marcos Acuña,River Plate,34,17,1208,7.11,1,1,2,0.25,0.81,13,3,19,3,13,82.06,55.38,57.14,5.4,2.1,1.1,7.1,1.8,1.4,0.5,172,Left,Argentina,"905,000.0 €"
Santiago Núñez,Estudiantes de La Plata,26,14,1060,7.11,1,1,2,0.29,0.05,11,3,2,2,2,84.44,40.26,64.29,5.3,1.5,1.7,4.1,9.4,2.8,0.1,187,Right,Argentina,"1,900,000.0 €"
Lautaro Rivero,River Plate,22,19,1712,7.09,1,0,1,0.57,0.21,15,5,4,0,6,85.94,52.53,65.1,5.1,1.4,1.1,4.0,4.4,2.3,0.1,185,Left,Argentina,"7,400,000.0 €"
