Jugador,Equipo,Edad,PJ,Min,Rating,Goles,Asist.,G+A,xG,xA,Tiros,Tiros a puerta,Pases clave,Gr. chances,Dribbles ok,%Pases ok,%Pases largos ok,%Duelos,Duelos/90,Entradas/90,Interc./90,Recup./90,Despejes/90,Aéreos/90,Bloqueos/90,Altura,Pie,País,Valor
Leandro Paredes,Boca Juniors,32,18,1362,7.85,2,3,5,0.32,0.55,28,8,33,8,8,88.73,75.69,66.13,5.4,2.1,0.9,6.2,1.7,0.5,0.7,180,Right,Argentina,"5,300,000.0 €"
Juan Fernando Quintero,River Plate,33,15,648,7.46,3,3,6,0.24,1.28,30,14,29,7,5,84.86,76.0,48.39,2.1,0.4,0.4,4.2,0.6,0.0,1.2,168,Left,Colombia,"1,900,000.0 €"
Aaron Molinas,Defensa y Justicia,26,15,1348,7.43,3,4,7,0.79,0.21,19,8,31,4,11,86.21,60.16,52.17,3.2,1.3,0.7,6.9,1.1,0.1,0.2,175,Right,Argentina,"3,800,000.0 €"
Franco Ibarra,Rosario Central,25,21,1852,7.4,0,1,1,0.07,0.3,13,1,21,2,14,86.91,64.06,66.67,9.5,4.7,1.7,5.6,1.9,1.1,0.1,175,Right,Argentina,"6,400,000.0 €"
Ángel Di María,Rosario Central,38,18,1394,7.39,5,4,9,0.82,1.92,50,17,45,10,32,74.41,58.42,41.4,4.2,0.5,0.5,3.6,0.1,0.0,1.1,180,Left,Argentina,"1,900,000.0 €"
Gonzalo Martínez,Tigre,33,14,507,7.32,3,1,4,0.47,0.7,26,13,14,3,12,73.38,57.89,63.54,10.8,2.1,0.0,8.9,0.2,0.5,0.5,172,Left,Argentina,"540,000.0 €"
Federico Fattori,CA Talleres,34,22,1942,7.25,0,0,0,,0.16,5,2,11,0,7,89.84,71.84,51.72,4.2,1.5,1.5,7.7,3.3,1.4,0.1,178,Right,Argentina,"570,000.0 €"
Matias Galarza,CA Talleres,24,20,1620,7.23,0,1,1,0.06,0.24,12,1,19,4,22,87.28,60.44,63.84,7.9,2.2,0.8,9.4,1.3,1.3,0.2,180,Right,Argentina,"5,000,000.0 €"
Tiago Palacios,Estudiantes de La Plata,25,17,990,7.19,3,2,5,0.16,0.32,24,7,24,7,20,81.73,72.73,42.34,5.3,1.1,0.8,5.2,0.5,0.5,1.0,165,Left,Uruguay,"4,400,000.0 €"
Santiago Sosa,Racing Club,27,20,1804,7.17,1,1,2,0.39,0.22,17,4,14,1,2,80.97,66.3,61.43,6.8,1.8,2.2,4.3,4.9,4.6,0.1,182,Right,Argentina,"8,800,000.0 €"
Nicolás Barros Schelotto,Gimnasia y Esgrima,19,20,1368,7.13,4,2,6,0.13,0.36,19,10,35,6,6,79.34,59.55,53.85,5.1,2.0,0.9,4.1,1.1,0.6,0.1,174,Left,Argentina,"6,200,000.0 €"
Ezequiel Piovi,Estudiantes de La Plata,33,18,1496,7.12,1,1,2,0.23,0.12,15,5,6,0,8,83.85,56.99,56.33,5.4,3.4,0.9,5.0,1.7,1.0,0.1,170,Right,Argentina,"845,000.0 €"
Gastón Lodico,Instituto De Córdoba,28,15,1121,7.12,0,2,2,0.24,0.65,11,4,41,5,12,84.75,65.82,59.52,4.0,1.4,0.6,5.7,0.9,0.3,0.2,173,Right,Argentina,"3,900,000.0 €"
Aníbal Moreno,River Plate,27,22,1927,7.1,0,3,3,0.18,0.23,20,3,15,1,9,85.1,63.91,52.36,5.2,3.3,1.8,5.3,1.6,0.8,0.4,177,Right,Argentina,"8,300,000.0 €"
Adrián Sánchez,Club Atlético Belgrano,27,22,1912,7.1,1,1,2,0.06,0.82,6,1,13,4,9,87.06,58.0,57.5,5.4,2.7,1.8,6.4,1.5,0.9,0.1,177,Right,Argentina,"3,300,000.0 €"
José Florentín,Independiente Rivadavia,30,20,1691,7.09,4,0,4,1.5,0.14,39,13,10,1,6,81.65,57.97,53.5,6.9,1.8,1.6,6.5,2.3,3.5,0.3,181,Left,Paraguay,"2,300,000.0 €"
Nicolas Oroz,Argentinos Juniors,32,22,1642,7.09,2,3,5,0.38,1.2,14,6,28,6,19,85.46,72.0,49.31,3.9,1.9,1.0,5.7,0.7,0.3,0.2,173,Left,Argentina,"970,000.0 €"
Nacho Fernández,Gimnasia y Esgrima,36,20,1631,7.09,2,2,4,0.41,0.69,26,9,27,4,25,80.75,64.94,52.33,7.4,1.9,0.6,6.6,1.8,0.7,0.4,182,Left,Argentina,"220,000.0 €"
Agustín Cardozo,CA Lanús,29,17,1518,7.09,0,1,1,0.05,0.16,5,1,11,1,7,89.65,75.86,58.14,4.4,1.2,1.0,6.2,1.3,1.7,0.1,182,Right,Argentina,"2,400,000.0 €"
Alan Lescano,Argentinos Juniors,24,22,1843,7.07,4,0,4,1.38,0.53,36,16,20,1,14,86.09,68.13,49.22,4.6,1.8,1.0,5.6,0.3,0.6,0.4,182,Left,Argentina,"7,200,000.0 €"
