Jugador,Equipo,Edad,PJ,Min,Rating,Goles,Asist.,G+A,xG,xA,Tiros,Tiros a puerta,Pases clave,Gr. chances,Dribbles ok,%Pases ok,%Pases largos ok,%Duelos,Duelos/90,Entradas/90,Interc./90,Recup./90,Despejes/90,Aéreos/90,Bloqueos/90,Altura,Pie,País,Valor
Thiago Silvero,Vélez Sarsfield,20,8,560,7.11,1,0,1,0.16,0.02,5,2,3,1,1,68.15,30.14,57.14,6.4,1.8,1.3,4.0,7.2,3.2,0.0,188.0,Right,Argentina,"290,000.0 €"
Santiago Daniele,Banfield,20,6,340,7.0,0,1,1,0.06,0.0,2,0,1,0,0,65.98,32.14,61.36,7.1,2.9,2.1,2.6,8.2,2.6,0.3,183.0,Right,Argentina,"53,000.0 €"
Simon Escobar,Vélez Sarsfield,17,4,187,6.85,0,0,0,0.08,0.04,3,0,1,0,3,78.95,71.43,55.56,9.6,4.8,0.0,3.4,0.0,1.0,0.0,190.0,Left,Argentina,
Ignacio Ovando,Rosario Central,19,19,1721,6.84,1,0,1,0.46,0.13,10,3,4,0,3,89.2,46.48,58.57,4.3,0.8,2.5,3.3,4.4,2.0,0.1,182.0,Right,Argentina,"6,200,000.0 €"
Elías Verón,Rosario Central,19,4,197,6.73,1,0,1,0.92,0.26,2,1,4,1,2,81.72,30.0,33.33,3.2,2.3,2.3,7.3,2.3,0.0,0.0,,Right,Argentina,"94,000.0 €"
Lucas Ayala,Club Atlético Unión de Santa Fe,19,3,226,6.7,0,0,0,0.03,0.04,2,0,0,0,1,77.19,14.29,56.52,5.2,3.6,1.6,4.8,2.0,0.4,0.4,,,Argentina,
Timoteo Chamorro,CA Talleres,20,6,321,6.67,0,1,1,0.41,0.68,7,4,5,2,4,81.3,12.5,37.93,3.1,1.4,0.8,4.5,1.7,0.6,0.3,172.0,Right,Argentina,"24,000.0 €"
Ulises Giménez,Sarmiento,20,3,81,6.67,0,0,0,0.05,0.0,1,0,0,0,3,70.0,100.0,61.54,8.9,2.2,2.2,6.7,6.7,2.2,1.1,180.0,Right,Argentina,"23,000.0 €"
Juan Cruz Cortazzo,Gimnasia y Esgrima,20,10,327,6.62,0,0,0,0.17,0.02,2,0,1,0,0,68.94,29.41,51.52,4.7,0.3,1.7,1.9,11.8,4.4,0.3,191.0,Right,Argentina,"54,000.0 €"
Luca Raffin,Rosario Central,20,6,221,6.57,0,0,0,,0.0,0,0,0,0,0,86.75,25.0,65.0,5.3,1.2,1.6,4.1,11.4,3.7,0.0,186.0,Right,Argentina,"145,000.0 €"
Teo Rodríguez Pagano,San Lorenzo,20,10,626,6.55,0,0,0,0.02,0.24,5,1,2,1,10,66.51,23.91,46.75,5.2,1.7,1.0,3.6,2.7,1.0,0.0,178.0,Left,Argentina,"380,000.0 €"
Celías Ingenthron,Club Atlético Platense,18,3,259,6.47,0,0,0,,,1,0,0,0,0,80.41,56.25,48.39,5.2,2.4,0.0,7.6,2.8,1.4,0.3,175.0,Left,Argentina,"115,000.0 €"
Facundo González,River Plate,20,3,136,6.47,0,0,0,,0.01,1,0,0,0,1,79.45,0.0,57.89,7.3,3.3,2.6,5.3,1.3,2.6,0.0,180.0,Left,Argentina,"73,000.0 €"
Juan Villalba,Tigre,20,3,190,6.43,0,0,0,,0.03,0,0,2,0,1,80.45,27.27,42.86,2.8,0.9,1.9,3.3,2.8,0.0,0.0,173.0,Left,Argentina,"290,000.0 €"
