Jugador,Equipo,Edad,PJ,Min,Rating,Goles,Asist.,G+A,xG,xA,Tiros,Tiros a puerta,Pases clave,Gr. chances,Dribbles ok,%Pases ok,%Pases largos ok,%Duelos,Duelos/90,Entradas/90,Interc./90,Recup./90,Despejes/90,Aéreos/90,Bloqueos/90,Altura,Pie,País,Valor
Tiziano Perrotta,Banfield,19,15,1096,7.03,6,1,7,1.56,1.03,37,13,15,2,9,63.14,50.0,46.19,7.5,1.1,0.2,2.6,0.6,4.4,0.8,180.0,Left,Argentina,"1,900,000.0 €"
Giovanni Cantizano,Rosario Central,19,6,382,7.0,1,1,2,1.13,0.49,11,6,5,2,7,81.9,33.33,40.38,4.9,2.1,0.0,5.2,0.2,0.0,0.5,168.0,Right,Argentina,"1,000,000.0 €"
Leonel Flores,Boca Juniors,19,4,315,6.93,0,0,0,0.89,0.51,11,3,7,1,12,86.61,100.0,50.98,7.4,1.1,0.0,4.6,1.1,0.6,0.6,175.0,Right,Argentina,
Thiago Aguirre,Vélez Sarsfield,17,3,90,6.93,1,1,2,0.09,0.21,1,1,1,1,4,69.23,0.0,39.13,9.0,2.0,0.0,4.0,2.0,3.0,0.0,188.0,Right,Argentina,
Luca Rafaelli,Instituto De Córdoba,17,9,257,6.72,1,1,2,,,6,2,5,1,6,65.22,57.14,41.67,7.0,1.8,0.0,2.8,1.1,1.4,0.4,,Left,Argentina,"390,000.0 €"
Valentin Davila,CA Talleres,19,18,590,6.71,4,0,4,0.04,0.0,17,11,5,0,5,62.07,83.33,43.0,6.6,1.2,0.0,2.4,1.5,3.1,0.2,185.0,Right,Argentina,"1,500,000.0 €"
Lisandro Piñero,Banfield,19,12,463,6.7,0,0,0,0.33,0.0,3,0,3,1,13,67.54,42.86,52.38,8.6,1.7,0.4,5.6,1.2,0.6,0.4,165.0,Right,Argentina,"390,000.0 €"
Joaquín Freitas,River Plate,19,16,942,6.66,1,2,3,0.27,0.74,18,5,23,6,17,76.95,50.0,36.0,5.2,1.4,0.3,3.7,0.5,0.7,0.5,177.0,Right,Argentina,"970,000.0 €"
Facundo Jainikoski,Argentinos Juniors,18,21,876,6.66,1,2,3,1.51,0.87,24,6,13,2,18,76.04,41.67,43.13,7.1,1.8,0.4,5.3,0.2,0.1,0.8,178.0,Right,Argentina,"1,300,000.0 €"
Luciano González,Defensa y Justicia,20,4,127,6.6,0,0,0,,0.01,2,1,2,1,4,68.75,0.0,42.86,8.5,1.4,0.0,4.3,0.0,2.1,0.0,179.0,Right,Uruguay,"47,000.0 €"
Tomás Pérez,Defensa y Justicia,20,4,99,6.6,1,0,1,0.38,0.02,4,2,2,0,0,62.07,50.0,35.71,4.5,1.8,0.0,5.5,0.0,2.7,0.9,181.0,Right,Argentina,"285,000.0 €"
Alan Coria,Defensa y Justicia,19,3,118,6.57,0,0,0,0.08,0.0,5,2,0,0,3,75.0,0.0,40.0,3.1,0.0,0.0,3.1,0.0,0.0,1.5,165.0,Left,Argentina,"52,000.0 €"
Felipe Tempone,CA Independiente,20,3,44,6.57,0,1,1,,0.14,1,0,2,1,1,72.22,0.0,50.0,6.1,2.0,0.0,0.0,0.0,2.0,2.0,180.0,Right,Argentina,"105,000.0 €"
Francisco Scarpeccio,Newell's Old Boys,20,7,239,6.56,1,0,1,0.34,0.07,4,3,1,0,0,58.06,0.0,38.89,5.3,0.4,0.0,2.6,1.9,3.8,0.0,187.0,Right,Argentina,"160,000.0 €"
Ian Subiabre,Tigre,19,17,814,6.53,1,2,3,0.22,0.03,20,7,15,2,18,73.43,52.94,34.88,5.0,0.9,0.8,4.2,0.4,0.6,0.6,172.0,Left,Argentina,"3,200,000.0 €"
Alex Verón,Vélez Sarsfield,17,8,200,6.5,0,0,0,0.25,0.02,3,2,2,0,5,73.81,33.33,40.91,4.0,1.4,1.4,4.0,0.4,0.0,0.4,175.0,Left,Argentina,"260,000.0 €"
Facundo Valdéz,CA Independiente,20,7,187,6.49,0,0,0,0.04,0.0,3,0,5,0,7,59.09,33.33,29.27,5.8,1.4,0.0,3.4,1.0,1.0,1.0,,Right,Argentina,"210,000.0 €"
Dilan Godoy,Vélez Sarsfield,20,14,669,6.48,0,3,3,0.64,0.13,24,7,10,3,6,64.71,83.33,42.86,6.9,1.5,0.7,3.2,0.8,3.1,0.7,176.0,Left,Argentina,"720,000.0 €"
Gonzalo Gelini,Boca Juniors,19,5,184,6.48,0,1,1,,,3,0,2,1,2,78.05,0.0,30.43,3.4,0.5,0.5,4.4,0.0,0.5,0.5,175.0,Right,Argentina,"245,000.0 €"
Emiliano Chiavassa,CA Talleres,20,4,61,6.48,0,0,0,0.04,0.03,1,0,1,0,3,83.33,100.0,29.41,7.4,3.0,0.0,10.3,0.0,0.0,1.5,169.0,Left,Argentina,"26,000.0 €"
