Jugador,Equipo,Edad,PJ,Min,Rating,Goles,Asist.,G+A,xG,xA,Tiros,Tiros a puerta,Pases clave,Gr. chances,Dribbles ok,%Pases ok,%Pases largos ok,%Duelos,Duelos/90,Entradas/90,Interc./90,Recup./90,Despejes/90,Aéreos/90,Bloqueos/90,Altura,Pie,País,Valor
Nicolás Barros Schelotto,Gimnasia y Esgrima,19,20,1368,7.13,4,2,6,0.13,0.36,19,10,35,6,6,79.34,59.55,53.85,5.1,2.0,0.9,4.1,1.1,0.6,0.1,174.0,Left,Argentina,"6,200,000.0 €"
Tomás Aranda,Boca Juniors,19,18,1027,6.99,1,3,4,0.74,0.96,27,6,18,5,34,87.3,70.0,49.69,7.0,1.7,0.5,7.8,0.6,0.5,0.4,164.0,Right,Argentina,"9,400,000.0 €"
Lucas Silva,River Plate,19,3,206,6.93,0,0,0,0.14,0.06,2,0,0,0,0,89.5,84.62,42.11,3.5,1.3,1.3,7.4,1.7,0.9,0.0,179.0,Right,Argentina,"290,000.0 €"
Tobías Andrada,River Plate,19,18,1617,6.89,1,1,2,0.11,0.51,18,5,16,3,21,82.62,61.02,46.98,6.1,2.7,0.8,6.1,0.9,0.3,0.1,179.0,Right,Argentina,"9,300,000.0 €"
Jerónimo Gómez Mattar,Newell's Old Boys,18,15,804,6.87,0,1,1,0.1,0.28,11,4,11,3,5,78.02,50.94,55.77,6.5,2.7,0.8,6.4,1.8,0.3,0.4,180.0,Right,Argentina,
Luca Regiardo,Newell's Old Boys,19,15,1325,6.81,1,0,1,0.2,0.11,6,1,1,0,6,81.18,51.25,43.86,3.4,1.9,2.0,6.7,1.4,0.5,0.0,175.0,Right,Argentina,"1,600,000.0 €"
Ramiro Tulián,Club Atlético Belgrano,18,5,68,6.8,1,0,1,0.25,0.04,4,2,1,0,0,73.68,0.0,44.44,5.3,2.6,0.0,4.0,0.0,2.6,0.0,177.0,Right,Argentina,"52,000.0 €"
Juan Cruz Meza,River Plate,18,8,367,6.79,0,2,2,0.25,0.56,7,2,10,3,1,83.33,66.67,53.66,5.4,2.0,0.2,4.9,0.7,1.0,0.0,183.0,Right,Argentina,"1,700,000.0 €"
Lautaro Millán,CA Independiente,20,17,813,6.74,1,1,2,0.41,0.24,12,4,18,1,9,84.09,56.25,53.0,5.9,1.8,0.4,4.9,0.2,1.1,0.2,169.0,Right,Chile,"2,300,000.0 €"
Facundo Guch,Newell's Old Boys,19,18,1235,6.71,1,2,3,0.16,0.59,24,5,22,4,16,75.72,53.06,45.51,5.2,2.0,0.6,4.9,0.2,0.4,0.9,169.0,Left,Argentina,"1,800,000.0 €"
Fabricio Pérez,Estudiantes de La Plata,20,18,1005,6.71,3,0,3,0.56,0.05,19,9,11,1,16,80.25,40.0,41.98,4.9,1.7,0.5,3.9,0.7,0.5,0.4,180.0,Right,Argentina,"2,100,000.0 €"
Kendry Páez,River Plate,19,9,361,6.71,1,0,1,0.33,0.32,10,6,9,3,12,77.18,30.0,49.02,6.2,1.7,0.7,2.7,0.2,0.5,0.5,177.0,Left,Ecuador,"8,300,000.0 €"
Facundo Gulli,San Lorenzo,20,19,1050,6.7,0,3,3,0.1,0.37,14,7,12,2,23,79.9,46.88,44.63,4.6,1.1,0.4,4.2,0.4,0.3,0.2,178.0,Right,Argentina,"2,400,000.0 €"
Alejandro Tello,Racing Club,18,4,267,6.7,0,1,1,0.23,0.24,2,1,3,1,3,84.88,66.67,52.63,3.4,1.3,1.0,3.7,1.0,1.0,0.3,178.0,Right,Argentina,
Santiago López,Tigre,20,19,1179,6.68,0,2,2,0.68,0.64,25,6,25,5,27,70.67,43.75,43.28,7.9,2.9,0.5,6.0,0.3,0.4,0.7,170.0,Right,Argentina,"1,900,000.0 €"
Valentino Acuña,Newell's Old Boys,20,5,295,6.68,0,0,0,,,0,0,8,0,0,77.11,20.0,46.43,4.0,1.5,1.2,5.8,1.5,0.6,0.0,177.0,Left,Argentina,"1,500,000.0 €"
Lautaro Pereyra,River Plate,18,6,170,6.68,0,0,0,0.3,0.57,6,0,5,1,8,83.72,66.67,46.67,7.4,1.6,0.5,6.4,0.0,1.1,1.6,176.0,Right,Argentina,
Camilo Rey Domenech,Boca Juniors,20,4,106,6.68,0,0,0,,0.01,0,0,0,0,0,88.04,50.0,71.43,4.2,0.8,1.7,7.6,4.2,2.5,0.0,175.0,Right,Argentina,"420,000.0 €"
Thaiel Peralta,Huracán,17,10,489,6.67,2,0,2,,0.0,8,4,6,0,7,73.95,72.73,36.67,4.0,1.3,0.9,3.9,0.7,0.4,0.6,172.0,Left,Argentina,"1,100,000.0 €"
Jhon Renteria,Sarmiento,20,9,410,6.67,0,1,1,0.05,0.01,10,5,5,1,21,74.31,66.67,51.04,10.8,1.5,0.0,6.6,0.2,1.1,0.7,180.0,Left,Colombia,"520,000.0 €"
